,lon,lat,folder,Zona,prof,Zona2,ml
0,-90.484,13.4798,2019-02-05-0659,0,15.836,Intra 1,2.84
1,-92.2801,13.821,2019-02-09-0427,0,3.4461,Superficial,4.15
2,-92.2089,13.8593,2019-02-09-0508,0,5.1163,Superficial,4.09
3,-91.2033,13.8168,2019-02-10-1202,0,87.121,Intra 2,3.19
4,-91.3978,13.5857,2019-02-18-0447,0,39.9727,Intra 1,3.42
5,-91.2169,13.6563,2019-02-19-0829,0,55.5538,Intra 1,3.25
6,-91.423,13.5848,2019-02-24-0310,0,59.5969,Intra 1,3.67
7,-91.2702,13.6886,2019-02-24-1054,0,51.5185,Intra 1,3.06
8,-90.7826,13.5112,2019-02-25-0050,0,33.1218,Intra 1,3.64
9,-92.2078,14.2638,2019-02-25-0057,0,43.5578,Intra 1,3.61
10,-92.229,14.2158,2019-03-05-0545,0,20.037,Intra 1,4.12
11,-91.4192,13.5872,2019-03-08-0207,0,33.5384,Intra 1,4.75
12,-91.4485,13.6564,2019-03-08-0209,0,43.2786,Intra 1,4.53
13,-91.4342,13.5227,2019-03-08-1107,0,53.7631,Intra 1,4.7
14,-91.4654,13.6794,2019-03-09-0948,0,90.0733,Intra 2,3.57
15,-91.8415,14.1148,2019-03-10-1035,0,78.2534,Intra 2,3.15
16,-91.5617,13.7076,2019-03-11-1120,0,75.6321,Intra 2,4.11
17,-91.0503,13.7448,2019-03-13-1513,0,66.4111,Intra 2,3.6
18,-91.0473,13.6789,2019-03-18-0254,0,68.4226,Intra 2,3.58
19,-91.2924,13.6638,2019-03-20-1320,0,41.9027,Intra 1,3.97
20,-91.3743,13.8019,2019-03-21-0104,0,70.211,Intra 2,4.53
21,-91.787,14.0586,2019-03-25-0048,0,68.9073,Intra 2,4.02
22,-91.9058,13.7982,2019-03-25-0812,0,46.7985,Intra 1,3.58
23,-92.3779,14.2163,2019-03-26-1337,0,53.7198,Intra 1,4.54
24,-90.9214,13.3163,2019-03-31-0604,0,34.8613,Intra 1,4.09
25,-92.2367,13.3386,2019-04-04-2258,0,64.4989,Intra 1,4.23
26,-91.6557,13.8657,2019-04-06-1128,0,74.0163,Intra 2,3.61
27,-91.7872,14.0423,2019-04-06-2257,0,74.727,Intra 2,4.23
28,-91.5554,13.7916,2019-04-07-1628,0,144.8412,Intra 2,3.69
29,-90.4912,13.3882,2019-04-08-2156,0,16.5148,Intra 1,4.14
30,-91.8211,14.111,2019-04-13-1902,0,67.8166,Intra 2,3.98
31,-91.7475,13.9667,2019-04-18-0317,0,69.0841,Intra 2,3.86
32,-90.581,13.201,2019-04-19-0840,0,146.2126,Intra 2,3.59
33,-91.5195,13.9479,2019-04-21-2226,0,73.1124,Intra 2,3.83
34,-92.1407,13.8744,2019-04-22-1104,0,70.6283,Intra 2,4.03
35,-91.8646,14.126,2019-04-28-0945,0,74.2332,Intra 2,3.35
36,-90.7667,13.506,2019-04-28-1012,0,36.0793,Intra 1,3.54
37,-92.3754,13.6511,2019-04-29-0904,0,28.8792,Intra 1,4.28
38,-90.6329,13.5321,2019-04-30-0214,0,29.1236,Intra 1,3.59
39,-91.056,13.4809,2019-05-02-2147,0,18.2828,Intra 1,4.65
40,-91.7412,14.0592,2019-05-08-0553,0,58.5174,Intra 1,3.57
41,-91.671,14.0073,2019-05-08-1525,0,64.4099,Intra 1,4.33
42,-90.9232,13.5687,2019-05-11-0317,0,73.6252,Intra 2,3.84
43,-91.3773,13.8233,2019-05-13-1958,0,52.9399,Intra 1,3.75
44,-91.1536,13.7296,2019-05-14-0835,0,36.2417,Intra 1,4.03
45,-91.4196,13.6082,2019-05-16-0510,0,17.7519,Intra 1,3.93
46,-91.4928,13.7179,2019-05-17-0628,0,65.4247,Intra 2,3.58
47,-91.7755,14.0599,2019-05-25-0928,0,42.5191,Intra 1,3.62
48,-90.5448,13.3323,2019-06-04-0105,0,19.6478,Intra 1,3.91
49,-91.6933,13.8973,2019-06-04-2054,0,68.0657,Intra 2,3.96
50,-90.9123,13.4851,2019-06-06-0239,0,22.561,Intra 1,3.76
51,-90.6676,12.921,2019-06-06-0533,0,19.4707,Intra 1,3.76
52,-90.5776,13.0554,2019-06-15-0014,0,25.8223,Intra 1,4.03
53,-91.6022,13.5842,2019-06-17-1346,0,50.4797,Intra 1,3.91
54,-91.3044,13.8572,2019-06-23-1629,0,29.8164,Intra 1,3.89
55,-91.7462,13.897,2019-06-27-0754,0,23.758,Intra 1,3.58
56,-90.9131,13.1922,2019-06-27-1007,0,99.2713,Intra 2,3.94
57,-91.255,13.7621,2019-07-01-0756,0,76.2982,Intra 2,3.75
58,-91.3937,13.8293,2019-07-03-0326,0,73.1347,Intra 2,3.77
59,-90.8847,13.4645,2019-07-06-0046,0,54.253,Intra 1,2.82
60,-92.2276,14.2565,2019-07-11-0403,0,58.404,Intra 1,3.42
61,-90.9991,13.4809,2019-07-11-1800,0,76.3397,Intra 2,3.95
62,-91.2281,13.4733,2019-07-13-0134,0,77.032,Intra 2,4.88
63,-91.2423,13.5033,2019-07-13-0138,0,77.6004,Intra 2,4.83
64,-91.1891,13.3619,2019-07-13-0148,0,60.2312,Intra 1,3.81
65,-92.1307,13.5854,2019-07-13-1149,0,69.6267,Intra 2,3.73
66,-91.2985,13.7423,2019-07-13-2305,0,21.082,Intra 1,3.15
67,-91.4917,13.6199,2019-07-20-0208,0,70.2516,Intra 2,4.77
68,-91.5177,13.6437,2019-07-20-0212,0,72.2053,Intra 2,4.46
69,-91.3787,13.1885,2019-07-20-0233,0,48.925,Intra 1,4.19
70,-91.4884,13.1357,2019-07-20-0315,0,16.1789,Intra 1,4.4
71,-90.4881,13.392,2019-07-20-0925,0,6.7449,Superficial,3.59
72,-90.622,13.4696,2019-07-24-2107,0,69.3783,Intra 2,4.13
73,-91.9332,14.1625,2019-07-29-0527,0,58.1079,Intra 1,3.62
74,-91.391,13.8569,2019-07-31-0928,0,110.8185,Intra 2,3.22
75,-92.1305,14.2401,2019-08-04-0838,0,56.3868,Intra 1,3.07
76,-91.8224,14.0938,2019-08-04-1555,0,67.7006,Intra 2,3.03
77,-90.5051,13.292,2019-08-07-1155,0,13.502,Superficial,3.37
78,-91.687,13.9213,2019-08-07-1322,0,78.9011,Intra 2,3.99
79,-92.0317,14.1603,2019-08-10-0237,0,63.9804,Intra 1,3.7
80,-91.7299,13.9579,2019-08-11-0036,0,67.7936,Intra 2,4.45
81,-91.8858,13.5109,2019-08-11-0824,0,79.7472,Intra 2,3.76
82,-91.5029,13.6139,2019-08-11-1708,0,72.4496,Intra 2,4.05
83,-91.4184,13.9109,2019-08-12-0037,0,40.9385,Intra 1,2.95
84,-91.8094,13.5721,2019-08-12-1052,0,12.8683,Superficial,3.58
85,-92.1215,13.8426,2019-08-14-0112,0,63.6306,Intra 1,3.92
86,-91.4596,13.8761,2019-08-16-0520,0,16.3902,Intra 1,3.08
87,-91.1999,12.9202,2019-08-17-0744,0,12.9188,Superficial,3.3
88,-90.9688,13.5115,2019-08-17-0833,0,24.2755,Intra 1,2.66
89,-90.5854,13.5241,2019-08-17-2329,0,66.8814,Intra 2,3.67
90,-90.5446,13.311,2019-08-18-0257,0,28.1212,Intra 1,3.14
91,-91.4591,13.9376,2019-08-19-2024,0,62.5753,Intra 1,4.01
92,-91.3116,13.7204,2019-08-21-0826,0,29.1302,Intra 1,2.83
93,-91.7414,13.7746,2019-08-23-1743,0,58.8965,Intra 1,4.74
94,-90.9635,13.67,2019-08-24-0533,0,28.588,Intra 1,2.94
95,-90.9326,13.6407,2019-08-26-0800,0,35.9689,Intra 1,2.86
96,-91.4166,13.7039,2019-08-27-0339,0,21.7087,Intra 1,3.08
97,-91.4963,13.7187,2019-08-28-0850,0,72.5968,Intra 2,3.07
98,-92.2568,14.321,2019-08-29-1828,0,57.0994,Intra 1,4.85
99,-91.3514,13.8522,2019-08-31-0203,0,45.1434,Intra 1,3.89
100,-91.2596,13.8252,2019-08-31-0330,0,28.0521,Intra 1,3.32
101,-90.9623,13.6757,2019-08-31-0649,0,51.5984,Intra 1,3.41
102,-91.6442,13.7454,2019-08-31-0857,0,19.7869,Intra 1,3.33
103,-90.5049,13.4159,2019-09-01-0141,0,43.8614,Intra 1,3.58
104,-91.8066,14.1028,2019-09-03-1652,0,69.7026,Intra 2,3.66
105,-91.7029,13.956,2019-09-05-1510,0,78.9366,Intra 2,3.81
106,-92.1222,13.3064,2019-09-07-0312,0,64.5099,Intra 1,3.71
107,-91.6999,13.8469,2019-09-08-0228,0,53.8551,Intra 1,3.07
108,-91.9092,14.0155,2019-09-09-0434,0,7.2753,Superficial,3.39
109,-91.3206,13.3849,2019-09-11-1638,0,63.3153,Intra 1,4.03
110,-91.4385,13.7312,2019-09-15-0658,0,79.1252,Intra 2,5.51
111,-91.5108,13.6159,2019-09-15-0710,0,65.7585,Intra 2,4.34
112,-91.5147,13.6861,2019-09-15-0732,0,23.0571,Intra 1,3.41
113,-91.5406,13.694,2019-09-15-0733,0,18.4367,Intra 1,3.15
114,-91.4877,13.6376,2019-09-15-0740,0,77.4178,Intra 2,4.38
115,-91.4946,13.7133,2019-09-15-0919,0,7.346,Superficial,2.96
116,-91.5197,13.5125,2019-09-15-1209,0,66.4925,Intra 2,4.43
117,-91.4435,13.7505,2019-09-17-0522,0,62.1966,Intra 1,3.36
118,-91.946,13.6882,2019-09-17-1112,0,33.1594,Intra 1,3.11
119,-91.2467,13.4905,2019-09-18-0545,0,8.392,Superficial,3.4
120,-91.2702,13.5348,2019-09-19-0436,0,10.0613,Superficial,3.12
121,-91.7963,14.0418,2019-09-21-2055,0,71.6697,Intra 2,4.57
122,-91.3409,13.6693,2019-09-23-1047,0,12.0447,Superficial,3.56
123,-91.0546,13.3809,2019-09-24-0416,0,10.9951,Superficial,3.83
124,-91.2312,13.7752,2019-09-27-1947,0,40.7861,Intra 1,3.03
125,-91.1613,13.6402,2019-09-29-1605,0,15.9331,Intra 1,3.6
126,-90.8174,12.9256,2019-09-29-2023,0,7.3953,Superficial,4.17
127,-91.4944,13.7179,2019-09-30-0427,0,22.4297,Intra 1,3.48
128,-92.2404,14.1489,2019-09-30-0505,0,11.6892,Superficial,3.88
129,-91.4601,13.9528,2019-10-01-0244,0,69.0346,Intra 2,4.83
130,-90.9407,13.659,2019-10-01-0323,0,18.4164,Intra 1,3.5
131,-90.6037,12.9698,2019-10-01-0432,0,18.7481,Intra 1,2.8
132,-91.6528,13.2663,2019-10-01-0512,0,24.9934,Intra 1,3.7
133,-91.0766,13.7242,2019-10-01-2130,0,27.3908,Intra 1,3.84
134,-91.1125,13.0342,2019-10-04-0031,0,61.1534,Intra 1,3.8
135,-91.2109,13.5375,2019-10-04-0854,0,2.9831,Superficial,3.05
136,-90.6386,13.1355,2019-10-04-1035,0,34.9978,Intra 1,2.87
137,-90.7825,13.4972,2019-10-05-2252,0,23.2856,Intra 1,3.47
138,-91.8432,14.1345,2019-10-06-1557,0,42.6443,Intra 1,3.54
139,-91.7155,14.0198,2019-10-10-0821,0,77.3341,Intra 2,3.25
140,-91.3872,13.9124,2019-10-12-0756,0,75.5878,Intra 2,4.67
141,-91.008,13.4079,2019-10-14-0354,0,25.3455,Intra 1,2.84
142,-91.6328,13.9845,2019-10-14-0647,0,23.1798,Intra 1,3.53
143,-90.9431,13.4077,2019-10-17-0357,0,57.2619,Intra 1,2.84
144,-91.8996,13.8407,2019-10-18-1108,0,1.6776,Superficial,3.46
145,-90.5488,13.5093,2019-10-27-0946,0,54.9254,Intra 1,2.82
146,-91.7503,13.0951,2019-10-28-0331,0,5.9645,Superficial,4.24
147,-90.8644,13.5028,2019-10-30-2157,0,43.9186,Intra 1,4.12
148,-91.1605,13.7492,2019-10-31-0505,0,29.9529,Intra 1,2.71
149,-91.5928,14.0042,2019-11-01-1238,0,66.9481,Intra 2,4.68
150,-92.0457,14.2186,2019-11-02-1146,0,59.1724,Intra 1,4.18
151,-90.7059,13.5671,2019-11-08-0754,0,18.6386,Intra 1,3.39
152,-91.4233,13.789,2019-11-08-1302,0,13.9547,Superficial,3.17
153,-91.3812,13.9059,2019-11-09-1505,0,29.4924,Intra 1,3.18
154,-90.9683,13.6853,2019-11-13-1628,0,68.8461,Intra 2,5.96
155,-90.9604,13.707,2019-11-13-1638,0,71.9579,Intra 2,3.41
156,-90.948,13.6934,2019-11-13-1639,0,66.714,Intra 2,3.91
157,-91.003,13.7421,2019-11-13-2254,0,71.4609,Intra 2,3.72
158,-91.058,13.7438,2019-11-14-0602,0,57.3165,Intra 1,3.1
159,-90.9997,13.7014,2019-11-14-0647,0,55.3554,Intra 1,3.22
160,-90.9742,13.712,2019-11-14-2244,0,57.3101,Intra 1,3.4
161,-90.9428,13.701,2019-11-15-1432,0,29.7381,Intra 1,3.65
162,-90.9516,13.6598,2019-11-15-1457,0,18.9,Intra 1,4.19
163,-92.0773,13.7977,2019-11-16-1740,0,55.2776,Intra 1,4.2
164,-90.7687,13.0335,2019-11-17-0136,0,5.6131,Superficial,3.97
165,-90.476,13.3605,2019-11-17-0300,0,14.9919,Superficial,3.73
166,-90.9843,13.6459,2019-11-20-0136,0,30.765,Intra 1,4.4
167,-91.0848,13.7025,2019-11-20-0906,0,53.18,Intra 1,3.1
168,-90.9809,13.6773,2019-11-21-1901,0,23.6976,Intra 1,4.9
169,-91.6863,13.9217,2019-11-22-0125,0,50.4657,Intra 1,4.07
170,-91.4994,13.9669,2019-11-22-1047,0,72.8121,Intra 2,3.33
171,-91.0165,13.7234,2019-11-22-1247,0,29.5538,Intra 1,3.12
172,-91.3147,13.6955,2019-11-23-1610,0,26.8906,Intra 1,4.02
173,-91.023,13.7016,2019-11-25-0313,0,20.966,Intra 1,3.83
174,-91.5813,13.212,2019-11-26-2353,0,35.0966,Intra 1,4.2
175,-90.9735,13.6724,2019-11-27-1830,0,18.0003,Intra 1,3.98
176,-90.9631,13.661,2019-11-29-1207,0,30.6407,Intra 1,3.65
177,-92.1706,13.7669,2019-11-30-0744,0,66.5449,Intra 2,5.74
178,-92.1329,13.9458,2019-11-30-0748,0,68.1847,Intra 2,3.89
179,-92.0137,13.9744,2019-11-30-0819,0,65.2012,Intra 2,3.39
180,-92.1124,13.8344,2019-11-30-0911,0,57.1013,Intra 1,3.57
181,-92.0875,14.0102,2019-11-30-1758,0,60.4256,Intra 1,4.99
182,-91.8499,13.9412,2019-12-02-0659,0,8.013,Superficial,3.22
183,-92.3647,13.7073,2019-12-02-1158,0,12.5097,Superficial,4.13
184,-90.5562,13.3955,2019-12-04-0609,0,5.5976,Superficial,3.62
185,-92.1996,14.0855,2019-12-05-0302,0,65.9133,Intra 2,3.55
186,-92.1758,13.8883,2019-12-05-1511,0,67.524,Intra 2,4.9
187,-90.5821,13.508,2019-12-05-1623,0,6.6815,Superficial,4.55
188,-90.7709,13.5905,2019-12-07-2040,0,23.0763,Intra 1,4.17
189,-92.2548,13.639,2019-12-10-1152,0,65.5253,Intra 2,3.43
190,-90.954,13.6835,2019-12-11-2215,0,30.7526,Intra 1,3.24
191,-90.9182,12.9444,2019-12-13-0635,0,36.8662,Intra 1,3.45
192,-90.8472,13.0416,2019-12-13-1317,0,9.0,Superficial,4.11
193,-91.8036,13.5835,2019-12-14-0641,0,17.8052,Intra 1,3.34
194,-92.0021,14.0126,2019-12-15-1153,0,63.6416,Intra 1,3.25
195,-90.923,13.4404,2019-12-18-1838,0,18.9506,Intra 1,3.7
196,-91.3471,13.897,2019-12-18-2228,0,29.9838,Intra 1,4.19
197,-90.4702,13.4902,2019-12-19-0015,0,38.1382,Intra 1,2.78
198,-91.3303,13.496,2019-12-19-1235,0,23.489,Intra 1,5.69
199,-91.3605,13.5099,2019-12-19-1238,0,16.3834,Intra 1,5.04
200,-91.2469,13.4839,2019-12-19-1329,0,14.9579,Superficial,4.01
201,-91.5357,13.8552,2019-12-19-1423,0,12.3592,Superficial,4.18
202,-91.3427,13.6361,2019-12-19-1441,0,34.4692,Intra 1,4.99
203,-91.0966,13.6323,2019-12-19-1459,0,10.0,Superficial,4.44
204,-90.9955,13.4621,2019-12-19-1526,0,2.7177,Superficial,3.86
205,-91.2429,13.5246,2019-12-19-1546,0,12.2588,Superficial,4.2
