,lon,lat,time,folder,Zona,prof,Zona2,ml
0,-90.1301,15.6564,11/1/2020 2:22,2020-11-01-0221,G6,5.4719,Superficial,3.59
1,-90.171,15.5182,11/5/2020 0:15,2020-11-05-0015,G6,1.8615,Superficial,3.35
2,-90.2265,15.5556,11/6/2020 23:57,2020-11-06-2357,G6,8.9091,Superficial,3.59
3,-90.7139,15.4744,11/9/2020 3:47,2020-11-09-0347,G6,3.1964,Superficial,2.51
4,-90.0243,15.4917,11/10/2020 1:09,2020-11-10-0109,G6,5.0441,Superficial,3.25
5,-90.2685,15.5512,11/10/2020 12:26,2020-11-10-1225,G6,3.3207,Superficial,3.06
6,-90.1963,15.4899,11/10/2020 20:09,2020-11-10-2009,G6,1.3988,Superficial,2.9
7,-91.505,15.9476,11/11/2020 5:57,2020-11-11-0557,G6,6.066,Superficial,3.2
8,-90.1929,15.7955,11/11/2020 6:56,2020-11-11-0656,G6,1.3713,Superficial,2.9
9,-90.2254,15.8223,11/11/2020 7:47,2020-11-11-0747,G6,0.5478,Superficial,3.55
10,-90.2513,15.4897,11/11/2020 8:35,2020-11-11-0835,G6,7.1781,Superficial,3.43
11,-90.2208,15.5106,11/11/2020 11:55,2020-11-11-1154,G6,0.1602,Superficial,3.65
12,-90.1644,15.7652,11/12/2020 2:27,2020-11-12-0226,G6,1.4962,Superficial,2.86
13,-90.2003,15.5584,11/12/2020 23:56,2020-11-12-2355,G6,5.454,Superficial,3.77
14,-90.2368,15.6901,11/13/2020 1:26,2020-11-13-0126,G6,24.2121,Intra 1,2.75
15,-90.2366,15.5667,11/13/2020 5:55,2020-11-13-0554,G6,15.6478,Superficial,2.43
16,-90.7997,15.3752,11/14/2020 5:53,2020-11-14-0552,G6,14.3508,Superficial,2.57
17,-90.2193,15.475999999999999,11/14/2020 10:57,2020-11-14-1057,G6,9.498,Superficial,3.21
18,-91.0442,15.7551,11/15/2020 6:01,2020-11-15-0600,G6,11.0158,Superficial,3.4
19,-90.2112,15.4803,11/18/2020 2:10,2020-11-18-0209,G6,8.5342,Superficial,3.03
20,-89.8086,15.6254,11/20/2020 6:35,2020-11-20-0635,G6,13.2293,Superficial,3.31
21,-89.8809,15.4271,11/20/2020 13:52,2020-11-20-1352,G6,1.2025,Superficial,3.62
22,-91.0461,15.5542,11/22/2020 3:00,2020-11-22-0300,G6,17.1873,Intra 1,3.22
23,-91.1789,15.3721,11/22/2020 6:08,2020-11-22-0608,G6,17.3596,Intra 1,2.32
24,-90.7275,15.4783,11/22/2020 6:43,2020-11-22-0643,G6,0.626,Superficial,2.7
25,-91.4691,15.7068,11/22/2020 6:55,2020-11-22-0655,G6,53.3076,Intra 2,3.11
26,-90.3831,15.4199,11/22/2020 10:28,2020-11-22-1027,G6,4.4669,Superficial,2.2
27,-90.2183,15.5579,11/22/2020 13:24,2020-11-22-1324,G6,1.6906,Superficial,2.93
28,-90.0756,15.584000000000001,11/22/2020 18:13,2020-11-22-1812,G6,14.2366,Superficial,2.96
29,-90.2573,15.4859,11/22/2020 18:41,2020-11-22-1840,G6,8.2055,Superficial,3.06
30,-90.1967,15.522,11/22/2020 19:58,2020-11-22-1958,G6,3.1741,Superficial,3.72
31,-89.9984,15.6357,11/22/2020 20:49,2020-11-22-2048,G6,2.7159,Superficial,3.61
32,-90.2229,15.548,11/22/2020 22:25,2020-11-22-2225,G6,0.7088,Superficial,3.36
33,-91.5083,15.8787,11/23/2020 3:48,2020-11-23-0348,G6,5.1324,Superficial,3.58
34,-91.0068,15.6822,11/23/2020 7:02,2020-11-23-0702,G6,10.3991,Superficial,2.6
35,-91.4213,15.9007,11/23/2020 8:58,2020-11-23-0858,G6,8.1841,Superficial,3.13
36,-91.0441,15.7769,11/23/2020 10:42,2020-11-23-1042,G6,6.7085,Superficial,3.61
37,-90.7096,15.4544,11/23/2020 11:11,2020-11-23-1111,G6,9.488999999999999,Superficial,2.9
38,-90.78299999999999,15.4578,11/23/2020 11:59,2020-11-23-1159,G6,7.6915,Superficial,2.85
39,-90.2645,15.4719,11/23/2020 13:42,2020-11-23-1342,G6,6.2182,Superficial,2.95
40,-90.6948,15.4407,11/23/2020 18:58,2020-11-23-1857,G6,6.7028,Superficial,3.57
41,-90.7156,15.4708,11/23/2020 21:51,2020-11-23-2151,G6,0.6557,Superficial,3.6
42,-90.7129,15.4657,11/23/2020 22:36,2020-11-23-2236,G6,10.86,Superficial,3.3
43,-89.9849,15.6206,11/23/2020 23:13,2020-11-23-2312,G6,1.0638,Superficial,4.14
44,-90.2299,15.5172,11/23/2020 23:27,2020-11-23-2326,G6,0.0598,Superficial,3.87
45,-91.4883,15.6858,11/24/2020 0:48,2020-11-24-0048,G6,47.5042,Intra 2,3.04
46,-90.1793,15.5034,11/24/2020 1:59,2020-11-24-0159,G6,0.8572,Superficial,3.66
47,-90.1131,15.5364,11/24/2020 2:41,2020-11-24-0240,G6,8.4049,Superficial,3.43
48,-89.9882,15.6243,11/24/2020 4:10,2020-11-24-0409,G6,3.3265,Superficial,3.69
49,-90.7102,15.4667,11/24/2020 4:57,2020-11-24-0457,G6,7.2638,Superficial,3.29
50,-90.7165,15.5341,11/24/2020 5:00,2020-11-24-0459,G6,6.0045,Superficial,2.96
51,-90.9563,15.6595,11/24/2020 7:25,2020-11-24-0725,G6,13.3719,Superficial,2.77
52,-90.6632,15.4706,11/24/2020 10:03,2020-11-24-1003,G6,8.0349,Superficial,3.11
53,-90.1971,15.5096,11/24/2020 13:54,2020-11-24-1354,G6,3.4942,Superficial,3.45
54,-90.7025,15.4906,11/24/2020 13:58,2020-11-24-1358,G6,7.13,Superficial,3.55
55,-89.7909,15.7108,11/24/2020 17:04,2020-11-24-1704,G6,2.219,Superficial,3.74
56,-90.7188,15.4617,11/24/2020 17:21,2020-11-24-1720,G6,17.1542,Intra 1,2.96
57,-90.7572,15.4552,11/25/2020 2:44,2020-11-25-0244,G6,1.8344,Superficial,2.89
58,-90.1552,15.5946,11/25/2020 3:14,2020-11-25-0314,G6,11.6271,Superficial,3.22
59,-90.5904,15.3523,11/25/2020 6:08,2020-11-25-0608,G6,16.135,Superficial,2.66
60,-91.2143,15.9536,11/25/2020 6:51,2020-11-25-0651,G6,4.8512,Superficial,3.05
61,-90.6922,15.4598,11/25/2020 6:54,2020-11-25-0654,G6,1.7089,Superficial,3.23
62,-90.088,15.6538,11/25/2020 8:55,2020-11-25-0854,G6,2.8685,Superficial,2.92
63,-90.2035,15.5535,11/26/2020 0:39,2020-11-26-0039,G6,4.0353,Superficial,2.55
64,-90.1555,15.5112,11/26/2020 3:12,2020-11-26-0312,G6,6.2461,Superficial,3.18
65,-90.7479,15.4926,11/26/2020 7:39,2020-11-26-0739,G6,6.215,Superficial,3.2
66,-90.7266,15.4668,11/26/2020 7:59,2020-11-26-0759,G6,22.1237,Intra 1,3.54
67,-90.6937,15.5024,11/26/2020 8:55,2020-11-26-0854,G6,0.2164,Superficial,2.57
68,-90.2243,15.498,11/26/2020 12:02,2020-11-26-1201,G6,9.4099,Superficial,2.56
69,-91.046,15.6948,11/26/2020 13:54,2020-11-26-1354,G6,10.93,Superficial,3.83
70,-89.9148,15.7169,11/27/2020 4:57,2020-11-27-0457,G6,0.3842,Superficial,2.96
71,-89.9226,15.7936,11/27/2020 6:29,2020-11-27-0629,G6,3.7549,Superficial,2.87
72,-90.1116,15.6648,11/27/2020 7:08,2020-11-27-0708,G6,1.0305,Superficial,3.69
73,-90.51799999999999,15.6392,11/27/2020 20:42,2020-11-27-2041,G6,13.6919,Superficial,2.88
74,-90.7106,15.4329,11/28/2020 4:13,2020-11-28-0413,G6,17.3464,Intra 1,3.15
75,-90.9778,15.6524,11/28/2020 8:32,2020-11-28-0832,G6,0.8143,Superficial,2.64
76,-90.1217,15.6604,11/29/2020 3:43,2020-11-29-0342,G6,8.7081,Superficial,3.56
77,-91.5473,15.8763,11/29/2020 11:24,2020-11-29-1124,G6,13.4096,Superficial,3.34
78,-91.4931,15.8608,11/30/2020 5:24,2020-11-30-0524,G6,6.0128,Superficial,3.03
79,-90.009,15.5224,11/30/2020 7:26,2020-11-30-0726,G6,16.5668,Intra 1,3.26
80,-90.0754,15.6471,12/1/2020 8:55,2020-12-01-0855,G6,2.7742,Superficial,2.79
81,-91.1387,15.5054,12/2/2020 3:25,2020-12-02-0325,G6,23.8646,Intra 1,3.68
82,-90.6718,15.4396,12/2/2020 3:54,2020-12-02-0354,G6,5.4817,Superficial,3.69
83,-90.6155,15.427999999999999,12/3/2020 4:48,2020-12-03-0448,G6,7.6388,Superficial,3.57
84,-90.7091,15.4781,12/3/2020 11:46,2020-12-03-1146,G6,1.5082,Superficial,3.48
85,-91.1874,15.3342,12/4/2020 7:30,2020-12-04-0729,G6,23.7311,Intra 1,2.43
86,-90.7911,15.4249,12/4/2020 14:30,2020-12-04-1430,G6,5.9853,Superficial,3.57
87,-89.9651,15.6109,12/5/2020 19:30,2020-12-05-1930,G6,16.9703,Intra 1,4.1
88,-90.1188,15.5617,12/7/2020 1:07,2020-12-07-0107,G6,5.0226,Superficial,2.83
89,-90.0943,15.5726,12/9/2020 5:23,2020-12-09-0523,G6,11.2526,Superficial,3.29
90,-90.0262,15.6423,12/9/2020 6:08,2020-12-09-0608,G6,1.7542,Superficial,3.53
91,-90.0636,15.6519,12/9/2020 11:28,2020-12-09-1127,G6,1.3423,Superficial,3.37
92,-89.9473,15.5943,12/10/2020 7:17,2020-12-10-0717,G6,4.7484,Superficial,3.56
93,-90.1113,15.8562,11/17/2020 23:48,2020-11-17-2348,G8,2.2123,Superficial,3.99
94,-90.1812,15.925,11/23/2020 8:54,2020-11-23-0854,G8,5.9535,Superficial,3.21
95,-91.3912,16.1075,11/24/2020 4:26,2020-11-24-0426,G8,15.4807,Superficial,3.6
96,-91.0296,16.0087,11/25/2020 7:58,2020-11-25-0758,G8,1.0743,Superficial,3.66
97,-90.6319,16.1053,12/5/2020 1:10,2020-12-05-0111,G8,9.4815,Superficial,4.19
