,lon,lat,time,folder,Zona,prof,Zona2,ml
1,-90.4826,14.3871,4/19/2020 8:18,2020-04-19-0818,5,152.454,Profundo,4.52
16,-90.4808,14.383,4/19/2020 11:31,2020-04-19-1131,5,148.819,Intra 2,4.04
15,-90.4798,14.378,4/19/2020 11:10,2020-04-19-1110,5,10.1405,Superficial,2.89
17,-90.477,14.3849,4/19/2020 11:34,2020-04-19-1133,5,9.0686,Superficial,2.55
22,-90.4746,14.3711,4/19/2020 18:17,2020-04-19-1817,5,7.6514,Superficial,2.51
25,-90.4535,14.3861,4/19/2020 22:47,2020-04-19-2246,5,8.2618,Superficial,2.4
21,-90.4936,14.3562,4/19/2020 12:48,2020-04-19-1248,5,10.3291,Superficial,2.23
27,-90.5222,14.3643,4/20/2020 13:54,2020-04-20-1354,5,9.0672,Superficial,2.22
2,-90.4949,14.3745,4/19/2020 8:22,2020-04-19-0821,5,6.0218,Superficial,2.19
3,-90.4644,14.373,4/19/2020 8:24,2020-04-19-0823,5,4.6197,Superficial,2.19
33,-90.4865,14.3856,4/21/2020 10:25,2020-04-21-0832,5,132.467,Intra 2,2.18
19,-90.4743,14.3858,4/19/2020 11:47,2020-04-19-1147,5,138.954,Intra 2,2.16
31,-90.4839,14.3719,4/21/2020 8:31,2020-04-21-0807,5,10.1221,Superficial,2.14
7,-90.4889,14.3747,4/19/2020 9:19,2020-04-19-0919,5,12.2814,Superficial,2.11
12,-90.485,14.3812,4/19/2020 10:09,2020-04-19-1008,5,9.567,Superficial,2.11
14,-90.4846,14.3732,4/19/2020 11:03,2020-04-19-1103,5,11.2359,Superficial,2.04
23,-90.4792,14.3778,4/19/2020 18:54,2020-04-19-1854,5,9.2053,Superficial,2
34,-90.4785,14.3845,4/21/2020 12:31,2020-04-21-1025,5,12.6953,Superficial,1.96
13,-90.4897,14.3871,4/19/2020 10:57,2020-04-19-1057,5,9.4779,Superficial,1.8
24,-90.4993,14.3799,4/19/2020 21:30,2020-04-19-2130,5,8.3958,Superficial,1.76
28,-90.4961,14.3841,4/21/2020 7:15,2020-04-21-0711,5,140.43,Intra 2,1.64
5,-90.4792,14.3883,4/19/2020 8:57,2020-04-19-0856,5,10.5869,Superficial,1.63
18,-90.476,14.3793,4/19/2020 11:37,2020-04-19-1137,5,165.104,Profundo,1.6
20,-90.5053,14.3871,4/19/2020 11:50,2020-04-19-1150,5,6.8553,Superficial,1.6
8,-90.473,14.3698,4/19/2020 9:24,2020-04-19-0923,5,9.9565,Superficial,1.57
30,-90.4939,14.3858,4/21/2020 7:26,2020-04-21-0718,5,10.7371,Superficial,1.57
35,-90.4915,14.3803,4/22/2020 11:14,2020-04-22-0708,5,11.0483,Superficial,1.55
32,-90.4944,14.389,4/21/2020 8:32,2020-04-21-0831,5,10.2046,Superficial,1.52
4,-90.5168,14.3817,4/19/2020 8:43,2020-04-19-0842,5,8.6493,Superficial,1.5
6,-90.4964,14.3782,4/19/2020 9:07,2020-04-19-0906,5,2.9938,Superficial,1.48
29,-90.4273,14.4295,4/21/2020 7:18,2020-04-21-0715,5,174.592,Profundo,1.44
26,-90.4463,14.4287,4/20/2020 6:38,2020-04-20-0637,5,243.345,Profundo,1.43
11,-90.4871,14.3885,4/19/2020 9:49,2020-04-19-0949,5,157.912,Profundo,1.39
10,-90.4884,14.3943,4/19/2020 9:33,2020-04-19-0933,5,10.0623,Superficial,1.35
9,-90.5047,14.3963,4/19/2020 9:25,2020-04-19-0925,5,12.8256,Superficial,1.31
0,-90.4882,14.3823,4/19/2020 6:02,2020-04-19-0602,5,5.8177,Superficial,1.3
