,lon,lat,time,folder,Zona,prof,Zona2,ml
1584,-93.6259,14.7726,2/6/2019 18:42,2019-02-06-1842,MexicoCosta,2.1369,Superficial,4.69
1586,-92.3898,13.8413,2/9/2019 4:37,2019-02-09-0436,MexicoCosta,6.628,Superficial,3.82
1596,-93.0968,14.5348,2/18/2019 11:59,2019-02-18-1158,MexicoCosta,7.0416,Superficial,4.22
1597,-93.9492,14.3315,2/19/2019 6:48,2019-02-19-0648,MexicoCosta,14.9333,Superficial,4.58
1598,-93.2564,14.1908,2/19/2019 9:51,2019-02-19-0951,MexicoCosta,5.5621,Superficial,4.33
1599,-93.0477,14.395,2/19/2019 14:13,2019-02-19-1412,MexicoCosta,6.72,Superficial,5.05
1606,-94.1745,14.5709,2/25/2019 19:36,2019-02-25-1936,MexicoCosta,1.1159,Superficial,5.26
1607,-93.8894,14.5309,2/25/2019 19:38,2019-02-25-1939,MexicoCosta,2.2061,Superficial,5.32
1608,-93.6856,14.3544,2/25/2019 19:56,2019-02-25-1956,MexicoCosta,4.7896,Superficial,4.75
1609,-93.812,14.2676,2/25/2019 19:59,2019-02-25-1959,MexicoCosta,11.981,Superficial,5.04
1611,-93.8611,14.3863,2/25/2019 20:41,2019-02-25-2042,MexicoCosta,4.2557,Superficial,5.18
1615,-92.4,14.3592,3/4/2019 6:47,2019-03-04-0647,MexicoCosta,13.5035,Superficial,4.67
1617,-92.9854,14.2094,3/5/2019 11:52,2019-03-05-1152,MexicoCosta,14.7284,Superficial,4.56
1623,-93.0254,14.1045,3/6/2019 3:18,2019-03-06-0318,MexicoCosta,6.3877,Superficial,4.41
1630,-93.0309,14.1129,3/11/2019 5:14,2019-03-11-0514,MexicoCosta,8.6758,Superficial,3.78
1633,-92.891,13.7763,3/15/2019 11:41,2019-03-15-1141,MexicoCosta,7.3724,Superficial,3.92
1639,-92.9846,14.459,3/20/2019 21:17,2019-03-20-2116,MexicoCosta,14.4507,Superficial,4.06
1654,-93.0074,14.1414,4/26/2019 10:04,2019-04-26-1004,MexicoCosta,13.1601,Superficial,3.96
1663,-93.8554,14.551,5/12/2019 23:55,2019-05-12-2356,MexicoCosta,4.6119,Superficial,4.91
1664,-94.0172,14.9594,5/13/2019 1:49,2019-05-13-0150,MexicoCosta,0.0193,Superficial,5.16
1671,-93.3212,14.5459,5/19/2019 17:57,2019-05-19-1757,MexicoCosta,6.7367,Superficial,4.66
1673,-92.5681,13.9801,5/29/2019 6:17,2019-05-29-0616,MexicoCosta,14.7105,Superficial,3.75
1684,-93.2844,14.5616,6/14/2019 8:41,2019-06-14-0841,MexicoCosta,8.59,Superficial,4.37
1685,-93.3257,14.2815,6/14/2019 16:26,2019-06-14-1626,MexicoCosta,6.885,Superficial,5.59
1686,-93.2627,14.1441,6/14/2019 16:34,2019-06-14-1635,MexicoCosta,3.4075,Superficial,5.09
1687,-93.0428,14.3555,6/14/2019 16:58,2019-06-14-1658,MexicoCosta,3.5802,Superficial,4.64
1694,-92.8141,14.0734,6/15/2019 4:06,2019-06-15-0406,MexicoCosta,14.7049,Superficial,4.1
1696,-93.2268,14.1944,6/15/2019 15:50,2019-06-15-1550,MexicoCosta,8.9452,Superficial,4.06
1701,-93.3659,14.6737,6/19/2019 16:00,2019-06-19-1559,MexicoCosta,1.6043,Superficial,4.35
1708,-92.8255,14.2867,6/22/2019 23:15,2019-06-22-2315,MexicoCosta,5.8619,Superficial,4.16
1712,-92.8704,14.2319,6/23/2019 7:42,2019-06-23-0742,MexicoCosta,10.5423,Superficial,3.87
1713,-92.7709,14.289,6/23/2019 7:45,2019-06-23-0745,MexicoCosta,4.7281,Superficial,3.81
1715,-92.8529,14.0247,6/23/2019 22:36,2019-06-23-2236,MexicoCosta,6.5165,Superficial,3.8
1717,-92.8257,14.2866,6/24/2019 4:09,2019-06-24-0409,MexicoCosta,11.5644,Superficial,3.51
1718,-93.6743,14.6697,6/24/2019 9:51,2019-06-24-0951,MexicoCosta,1.9706,Superficial,4.51
1719,-93.5224,14.7234,6/24/2019 9:52,2019-06-24-0952,MexicoCosta,6.9286,Superficial,4.47
1720,-93.0462,14.2673,6/24/2019 10:12,2019-06-24-1011,MexicoCosta,14.9538,Superficial,4.97
1723,-92.4374,13.9775,6/24/2019 12:52,2019-06-24-1252,MexicoCosta,3.895,Superficial,3.81
1739,-93.0632,14.5814,7/6/2019 15:19,2019-07-06-1519,MexicoCosta,14.2922,Superficial,4.46
1751,-93.0748,14.4047,7/20/2019 9:36,2019-07-20-0936,MexicoCosta,8.7829,Superficial,3.7
1758,-92.4331,15.0324,7/29/2019 4:30,2019-07-29-0430,MexicoCosta,10.0989,Superficial,3.57
1775,-93.0267,13.9738,8/27/2019 5:04,2019-08-27-0503,MexicoCosta,11.3786,Superficial,3.57
1780,-92.7794,14.3011,9/3/2019 5:34,2019-09-03-0534,MexicoCosta,6.3942,Superficial,3.76
1798,-95.0688,15.3923,10/2/2019 10:13,2019-10-02-1013,MexicoCosta,1.9693,Superficial,5.53
1799,-92.6131,14.3049,10/5/2019 9:31,2019-10-05-0931,MexicoCosta,4.5768,Superficial,3.89
1821,-93.2638,13.8627,11/20/2019 11:30,2019-11-20-1129,MexicoCosta,10.0002,Superficial,5.41
1826,-93.0822,14.647,11/29/2019 21:37,2019-11-29-2137,MexicoCosta,9.7818,Superficial,4.71
1830,-93.0866,13.869,12/5/2019 8:02,2019-12-05-0802,MexicoCosta,6.1416,Superficial,4.02
1837,-92.9878,13.7375,12/23/2019 15:47,2019-12-23-1547,MexicoCosta,14.3711,Superficial,5.94
1840,-92.776,13.7021,12/25/2019 15:50,2019-12-25-1550,MexicoCosta,5,Superficial,4.14
1843,-93.0824,14.1872,12/27/2019 15:34,2019-12-27-1534,MexicoCosta,13.9677,Superficial,4.65
1883,-93.0482,14.2152,2/28/2020 8:59,2020-02-28-0900,MexicoCosta,4.0023,Superficial,3.61
1889,-93.6342,14.6594,2/29/2020 11:54,2020-02-29-1154,MexicoCosta,6.4926,Superficial,4.58
