,lon,lat,Name,Zona
0,-91.914,14.2946,CHAMP,2
1,-90.8911,13.916,CHULA,2
2,-90.1268,13.7517,GARIT,2
3,-92.2193,14.5329,OCOS,2
4,-91.8642,14.6994,COAT,2
5,-91.8023,14.958,SMARC,4
6,-91.5491,14.8618,XELA,4
7,-90.6131,14.5041,VILL,5
8,-90.5136,14.6568,CIRS,5
9,-90.7352,14.56,ANTG,5
10,-90.4457,14.5447,SJPIN,5
11,-90.5632,14.5834,CMONM,5
12,-90.5568,14.6035,CSTER,5
13,-90.5357,14.6255,KINAL,5
14,-90.5076,14.6012,CASUN,5
15,-90.5063,14.6458,ITC,5
16,-90.494,14.5803,EXCEL,5
17,-90.4816,14.5656,CCONS,5
18,-90.5127,14.6436,IPRES,5
19,-90.5193,14.5854,TADEO,5
20,-90.5497,14.5923,CBIBL,5
21,-90.4852,14.6213,CAUST,5
22,-90.6052,14.608,LSECB,5
23,-90.5224,14.6118,ICREY,5
24,-90.516,14.6109,SEUNI,5
25,-90.5286,14.5714,JUAMA,5
26,-90.5268,14.6212,SETEC,5
27,-90.5959,14.5993,ACRIS,5
28,-90.5128,14.6038,ASEGG,5
29,-90.5207,14.6241,CDBOS,5
30,-90.4879,14.5841,RGIL,5
31,-90.5388,14.6314,AMGGT,5
32,-90.5293,14.6204,JUNKA,5
33,-90.7611,14.3111,ESCTL,5
34,-90.3014,14.2791,STARS,5
35,-90.5133,14.616,LGUAT,5
36,-90.5556,14.52,SMP,5
37,-90.4724,14.6221,CSAGC,5
38,-90.4847,14.4787,BVH,5
39,-90.558,14.6577,NRNJO,5
40,-90.6332,14.618,ALUX,5
41,-90.5176,14.6014,TUC,5
42,-90.5232,14.5526,VILLC,5
43,-89.8975,14.2832,JUTI,6
44,-90.4942,14.6651,CEPRO,6
45,-90.4594,14.6875,SPAYM,6
46,-89.9847,14.6322,JALAP,6
47,-91.4851,15.3162,HUEH,7
48,-90.3767,15.4716,COBAN,7
49,-88.578,15.7472,IZABA,7
50,-90.3179,15.101,SALAM,7
51,-89.5417,14.9716,ZACAP,7
52,-91.1445,15.0295,QUICH,7
53,-91.7082,15.6673,JACAL,7
54,-90.0686,14.8561,EPROG,7
