Nombre,PGA,int_i,lat,lon,distancia
LGUAT,1.68031488153,2.64121843957,14.616,-90.5133,185.532222667
ACRIS,1.74822968388,2.66955971306,14.5993,-90.5959,188.829804339
ANTG,3.6380373428,3.19374820031,14.5575,-90.7297,193.677808839
XELA,1.63018987592,2.6195563017,14.8618,-91.5491,279.32269251
IZABA,3.61612196542,3.18942633635,15.721,-88.5977,301.166163782
CCONS,0.986059124587,2.25995816891,14.5656,-90.4816,178.976284125
SEUNI,1.5480163235,2.58256030765,14.6109,-90.516,185.204374269
KINAL,1.48426251995,2.55247815739,14.6255,-90.5357,187.70458717
CSTER,1.75974732276,2.67425666576,14.6035,-90.5568,186.876353457
CHULA,3.15202414244,3.09117696454,13.916,-90.8911,159.953406592
CAUST,2.1714927831,2.82464106888,14.6213,-90.4852,184.46326727
ITC,1.13309488044,2.35937655874,14.6458,-90.5063,187.96512305
SJPIN,2.90718941508,3.03334057241,14.5447,-90.4457,174.980024746
TADEO,1.48534255445,2.55299844905,14.5854,-90.5193,182.997395314
SMARC,4.00454181863,3.2624045164,14.958,-91.8023,306.983410552
IPRES,1.54253493668,2.58002305999,14.6436,-90.5127,188.112215486
COBAN,0.444140527798,1.68946610593,15.4716,-90.3767,266.103980901
QUICH,0.956676598479,2.2383202032,15.0295,-91.1445,262.498729381
CHAMP,0.810802723787,2.11998333272,14.2946,-91.914,277.15463683
JUNKA,1.41008876238,2.51580890565,14.6204,-90.5293,186.858254455
CINGE,1.23252816448,2.41954241544,14.6121,-90.5311,186.181804092
SETEC,1.1044919276,2.34108871341,14.6212,-90.5268,186.790566253
HUEH,0.71005808595,2.02508101611,15.3162,-91.4851,310.412181899
RGIL,1.658722705,2.63196743119,14.5841,-90.4879,181.080981426
AMGGT,1.50408586318,2.56196802057,14.6314,-90.5388,188.436919704
CMONM,1.82370088185,2.69979059255,14.5834,-90.5632,185.394813433
VILL,3.67074090639,3.20014939591,14.5041,-90.6131,181.303823403
STARS,4.20200854258,3.29683356533,14.2791,-90.3014,141.709389635
CEPRO,1.7871896108,2.68532502952,14.6651,-90.4942,189.143841488
JUTI,5.45603344157,3.48363645782,14.2832,-89.8975,124.848780746
CDBOS,0.67909846653,1.9931932389,14.6241,-90.5207,186.716582602
SALAM,0.78256661701,2.09462961022,15.101,-90.3179,225.101676743
EXCEL,1.77849316115,2.68183597262,14.5803,-90.494,181.067444356
CBIBL,1.56834296893,2.59189139498,14.5923,-90.5497,185.416951829
epicentro,0,3.212906774824286,13.1972,-89.6109,0
