Nombre,PGA,Intensidad,lat,lon,distancia
ACRIS,4.86127537,3.401077617,14.5993,-90.5959,20.3923601
JUAMA,2.166670067,2.823050714,14.5714,-90.5286,22.95844692
CAUST,1.816650159,2.697019833,14.6213,-90.4852,30.00651639
CSTER,4.467802731,3.3407048,14.6035,-90.5568,23.22103177
ITC,2.573250968,2.946064092,14.6458,-90.5063,30.26729814
CCONS,0.994077058,2.265750824,14.5656,-90.4816,26.76382717
LSECB,9.219120995,3.858843631,14.608,-90.6052,20.71848326
SALAM,0.909697448,2.20230332,15.101,-90.3179,83.35187237
COBAN,0.437220956,1.678234497,15.4716,-90.3767,119.0197882
VILL,13.32338397,4.122240154,14.5041,-90.6131,11.54005861
CDBOS,2.214300362,2.838604567,14.6241,-90.5207,27.4726658
EXCEL,1.949900981,2.747650683,14.5803,-90.494,26.50662216
CHAMP,0.11481821,0.721837741,14.2946,-91.914,132.4720444
XELA,0.143151246,0.879594584,14.8618,-91.5491,102.9076647
ANTG,6.28919372,3.585285919,14.5575,-90.7297,13.44267148
JUTI,0.129820819,0.809678136,14.2832,-89.8975,87.87892403
SJPIN,4.627373402,3.365805997,14.5447,-90.4457,29.20194489
ICREY,1.4752317,2.548112809,14.6118,-90.5224,26.38020538
HUEH,0.196254129,1.105272569,15.3162,-91.4851,128.7312776
RGIL,1.196915398,2.398570509,14.5841,-90.4879,27.2786523
EBENE,1.400038406,2.510692497,14.6212,-90.5084,28.16950072
SMARC,0.766544186,2.079832759,14.958,-91.8023,132.0367331
IZABA,0.203199654,1.130149121,15.721,-88.5977,266.0403363
epicentro,0,3.190127822,14.4469,-90.6948,0
