Nombre,PGA,Intensidad,lat,lon,distancia
SMARC,222.4235181,6.135806623,14.958,-91.8023,97.25873162
COBAN,1.993465696,2.763455639,15.4716,-90.3767,247.0609334
CDBOS,2.399170109,2.895960536,14.6241,-90.5207,218.9878837
CSTER,4.514688135,3.348171913,14.6035,-90.5568,215.4178758
TEST,3.749555293,3.215344669,14.6568,-90.5136,219.529725
RGIL,3.306841707,3.12547388,14.5841,-90.4879,222.6882285
XELA,45.77715135,5.005088514,14.8618,-91.5491,117.1490851
JUAMA,5.184949085,3.447184185,14.5714,-90.5286,218.609368
CCONS,1.497957294,2.559047565,14.5656,-90.4816,223.5124798
ACRIS,7.72508205,3.732376407,14.5993,-90.5959,211.4284032
ITC,2.452542742,2.911698515,14.6458,-90.5063,220.3416591
HUEH,26.5070524,4.614276286,15.3162,-91.4851,138.137048
VILL,9.615384982,3.888946117,14.5041,-90.6131,210.7345315
SEUNI,3.923083579,3.247704592,14.6109,-90.516,219.5673932
SJPIN,6.518054709,3.610852348,14.5447,-90.4457,227.435455
LSECB,10.2486601,3.934568697,14.608,-90.6052,210.4008583
EXCEL,5.453052614,3.483245566,14.5803,-90.494,222.0928669
CAUST,6.143789994,3.568554689,14.6213,-90.4852,222.6741892
JUTI,1.619722057,2.614948497,14.2832,-89.8975,288.3157916
epicentro,0,7.36265887,14.7361,-92.4746,0
