Nombre,PGA,Intensidad,lat,lon,distancia
JUNKA,2.69395414879,2.97885265897,14.6204,-90.5293,128.744964052
TADEO,2.02002505366,2.77292257694,14.5854,-90.5193,126.959334661
RGIL,1.67781495734,2.64015346964,14.5841,-90.4879,129.41051072
CASUN,2.42136273602,2.90254658033,14.6012,-90.5076,129.046512846
SMARC,7.66543282377,3.72683191533,14.958,-91.8023,132.840461988
VILL,6.42365484463,3.60041727915,14.5041,-90.6131,113.537706455
CSTER,4.81535282477,3.39428850332,14.6035,-90.5568,125.327509956
SMP,4.2026214019,3.29693788113,14.52,-90.5556,119.338887282
SALAM,1.81165145598,2.69504894421,15.101,-90.3179,182.944488837
IZABA,0.162937265789,0.972197638729,15.721,-88.5977,366.963848089
SEUNI,2.03748412741,2.77907820364,14.6109,-90.516,129.087711831
QUICH,1.84195973773,2.70691637903,15.0295,-91.1445,136.127928352
LGUAT,2.50867192532,2.92788405328,14.616,-90.5133,129.678271472
HUEH,1.88029417226,2.72164989261,15.3162,-91.4851,165.321302682
CHAMP,2.3055626235,2.86749359216,14.2946,-91.914,77.0616058852
STARS,2.19762062371,2.83319613329,14.2791,-90.3014,129.016728233
EXCEL,2.1238047999,2.80875774289,14.5803,-90.494,128.642583112
BVH,2.43800947683,2.90744728641,14.4787,-90.4847,122.537767137
JUTI,1.46340899815,2.54235734261,14.2832,-89.8975,169.971023986
ACRIS,6.08483051017,3.56165725592,14.5993,-90.5959,121.99120541
IPRES,2.5192469495,2.93089291101,14.6436,-90.5127,131.784621532
ESCTL,11.6954311602,4.02902274235,14.3111,-90.7611,87.9667025485
CDBOS,1.07026974251,2.31857537897,14.6241,-90.5207,129.696223898
CMONM,3.94223324043,3.25118759369,14.5834,-90.5632,123.32196136
XELA,3.07873664011,3.07434957383,14.8618,-91.5491,116.044523106
CCONS,0.929453061986,2.21767063073,14.5656,-90.4816,128.627467011
JUAMA,3.39874212896,3.14508109982,14.5714,-90.5286,125.198003344
ANTG,5.98023819213,3.54925534023,14.5575,-90.7297,108.785821101
CINGE,2.65864217229,2.96941483784,14.6121,-90.5311,127.983775738
CAUST,2.98380994188,3.05194809502,14.6213,-90.4852,132.306040719
epicentro,13.8393,-91.3976,n/a,4.123163601232846,
